fGDGT_0,fGDGT_1,fGDGT_2,fGDGT_3,fGDGT_cren,fGDGT_cren_prime
0.463136033229491,0.208722741433022,0.0809968847352025,0.0249221183800623,0.221183800623053,0.00103842159916926
0.368817204301075,0.206451612903226,0.111827956989247,0.0311827956989247,0.280645161290323,0.0010752688172043
0.263345195729537,0.154211150652432,0.119810201660735,0.0391459074733096,0.419928825622776,0.00355871886120996
0.40713536201469,0.242392444910808,0.117523609653725,0.0335781741867786,0.197271773347324,0.00209863588667366
0.34357848518112,0.220636663007684,0.144895718990121,0.0351262349066959,0.254665203073546,0.00109769484083425
0.201408450704225,0.152112676056338,0.173239436619718,0.0605633802816901,0.404225352112676,0.00845070422535211
0.460202604920405,0.205499276410999,0.191027496382055,0.0419681620839363,0.0969609261939219,0.00434153400868307
0.46455223880597,0.162313432835821,0.169776119402985,0.0541044776119403,0.145522388059702,0.00373134328358209
0.277777777777778,0.148989898989899,0.308080808080808,0.116161616161616,0.138888888888889,0.0101010101010101
0.549295774647887,0.129107981220657,0.0938967136150235,0.0516431924882629,0.171361502347418,0.00469483568075117
0.445652173913043,0.153985507246377,0.155797101449275,0.0579710144927536,0.181159420289855,0.00543478260869565
0.347457627118644,0.129237288135593,0.186440677966102,0.0889830508474576,0.23728813559322,0.0105932203389831
0.180956780264808,0.199728320954813,0.135502368847285,0.0269325610224898,0.454031443867735,0.00284852504287042
0.137989360708539,0.164472238241683,0.133302080785347,0.0238143841267373,0.534842904411954,0.00557903172573946
0.0904016926032678,0.127243656682075,0.180303173977843,0.0327481370330143,0.563224021312562,0.00607931839123843
0.0503399679097273,0.0730112414736814,0.168075053703548,0.0323209839061975,0.661357558508973,0.014895194497873
0.0960564048139003,0.108269850286558,0.153079000236393,0.0324967148172429,0.599388216966824,0.0107098128790818
0.353211590422786,0.126386708889941,0.0503652374005157,0.0394549225742002,0.428238197467388,0.00234334324517002
0.259757471788775,0.132811792325685,0.0621449691540855,0.0400965513427551,0.501219403861513,0.00396981152718629
0.160304967570937,0.118272341703722,0.0787746921634775,0.0404649548978106,0.596275117453373,0.00590792621067985
0.104904844642111,0.091015958798162,0.0849472274353483,0.0395471301091693,0.671876287742252,0.00770855127295781
0.515723727749872,0.133709782276437,0.0447452878654551,0.020957003605465,0.281868787062314,0.0029954114404571
0.437775323736155,0.174887305496125,0.0621035722000656,0.0308621207053304,0.285259193446433,0.00911248441589158
0.379610207503242,0.177252789684837,0.0637082262388039,0.0443612245348016,0.323836035743518,0.011231516294797
0.34460612646573,0.180109248740323,0.0870316320768309,0.0428271874079479,0.323895412656285,0.0215303926528836
0.0525773195876289,0.0618556701030928,0.139175257731959,0.0319587628865979,0.714432989690722,0
0.0527404343329886,0.0558428128231644,0.127197518097208,0.0289555325749741,0.735263702171665,0
0.0381836945304438,0.0485036119711042,0.136222910216718,0.0247678018575851,0.752321981424149,0
0.0278063851699279,0.0308959835221421,0.149330587023687,0.0308959835221421,0.761071060762101,0
0.0307062436028659,0.0358239508700102,0.159672466734903,0.0307062436028659,0.743091095189355,0
0.026694045174538,0.0205338809034908,0.161190965092402,0.0338809034907598,0.757700205338809,0
0.0424430641821946,0.0393374741200828,0.129399585921325,0.0341614906832298,0.754658385093168,0
0.041025641025641,0.0348717948717949,0.115897435897436,0.0348717948717949,0.773333333333333,0
0.0293225480283114,0.0394337714863499,0.167846309403438,0.0293225480283114,0.73407482305359,0
0.026123301985371,0.026123301985371,0.133751306165099,0.0229885057471264,0.791013584117032,0
0.0525773195876289,0.0618556701030928,0.139175257731959,0.0319587628865979,0.714432989690722,0
0.0695742471443406,0.0550363447559709,0.118380062305296,0.0301142263759086,0.726895119418484,0
0.105098855359001,0.0561914672216441,0.112382934443288,0.0291363163371488,0.697190426638918,0
0.113660062565172,0.059436913451512,0.115745568300313,0.0375391032325339,0.673618352450469,0
0.124740124740125,0.079002079002079,0.111226611226611,0.0384615384615385,0.646569646569647,0
0.132917964693666,0.0872274143302181,0.110072689511942,0.0321910695742471,0.637590861889927,0
0.062821833161689,0.0545829042224511,0.126673532440783,0.043254376930999,0.712667353244078,0
0.0741116751269036,0.0477157360406091,0.117766497461929,0.0314720812182741,0.728934010152284,0
0.0754132231404959,0.0526859504132231,0.102272727272727,0.0361570247933884,0.733471074380165,0
0.0865087538619979,0.0679711637487127,0.115345005149331,0.0329557157569516,0.697219361483007,0
0.222160355920635,0.144043764123394,0.143955539801166,0.0413751099893348,0.444414547808912,0.00405068235655727
0.275595272513821,0.0170314494061439,0.16767588625764,0.0483292302211008,0.486479354482614,0.0048888071186807
0.228079688869858,0.144573521267636,0.143868245893593,0.0402622803271352,0.439544748863039,0.00367151477873868
0.145408853360451,0.108854809811037,0.174793558393522,0.0426384321627691,0.521182449557977,0.0071218967142456
0.155288308313751,0.106073988613767,0.182525411057294,0.0439505755935341,0.506893475201266,0.00526824122038794
0.161021594091345,0.111140707930511,0.175113218875759,0.0413008129283357,0.50463124519539,0.00679242097865962
0.0898022950909,0.0698748504624305,0.194540152087734,0.0438360799598985,0.594322573614209,0.00762404878482804
0.115225572399346,0.0712495028661848,0.125673142476816,0.036908501753061,0.642894985511307,0.00804829499328499
0.10504223081305,0.0747686042016353,0.188575107234941,0.0449904552665406,0.579837547807968,0.00678605467586604
0.166030719567944,0.0509358973571867,0.0212660593728863,0.0112772581179225,0.702391450185513,0.048098615398547
0.0324434001327038,0.0343853842277909,0.0407281070398921,0.0448613226757174,0.534625021949592,0.312956763974304
0.0135413151623425,0.0117098379657498,0.00298373151615479,0.00997848873346155,0.638877458113502,0.32290916850879
0,0,0,1,0,0
0.1,0.214285714285714,0.328571428571429,0.357142857142857,0,0
0,0.0526315789473684,0.210526315789474,0.736842105263158,0,0
0.148148148148148,0.111111111111111,0.222222222222222,0.518518518518519,0,0
0.238095238095238,0.0952380952380953,0.285714285714286,0.380952380952381,0,0
0.132352941176471,0.147058823529412,0.279411764705882,0.441176470588235,0,0
0.177777777777778,0.133333333333333,0.244444444444444,0.444444444444445,0,0
0.00115353558657285,0.00138424270388741,0.00173030337985927,0.00369131387703311,0.74979813127235,0.242242473180298
0.00336240411894505,0.00399285489124724,0.00493853104970054,0.0105075128717033,0.725018388147526,0.252180308920878
0.00108956199607758,0.00141643059490085,0.00185225539333188,0.00414033558509479,0.762693397254304,0.228808019176291
0.0014149274849664,0.00165074873246079,0.00200448060370239,0.00448060370239359,0.766419054356798,0.224030185119679
0.00378787878787879,0.00252525252525253,0.00252525252525253,0.00631313131313131,0.695707070707071,0.289141414141414
0.252016129032258,0.282258064516129,0.0756048387096774,0.0514112903225806,0.332661290322581,0.00604838709677419
0.036036036036036,0.00675675675675676,0.018018018018018,0.0247747747747748,0.900900900900901,0.0135135135135135
0.0682926829268293,0.0292682926829268,0.024390243902439,0.0292682926829268,0.819512195121951,0.0292682926829268
0.0798722044728435,0.0159744408945687,0.0255591054313099,0.0319488817891374,0.837060702875399,0.00958466453674121
0.135135135135135,0.0337837837837838,0.0405405405405405,0.027027027027027,0.702702702702703,0.0608108108108108
0.236593059936909,0,0,0.0473186119873817,0.706624605678233,0.00946372239747634
0.324503311258278,0,0,0,0.642384105960265,0.033112582781457
0.514794967381174,0.0768872320596458,0.267590866728798,0.0662861136999068,0.0744408201304753,0
0.353386256512032,0.106301165963781,0.34519970230712,0.120689655172414,0.0744232200446539,0
0.390407554671968,0.0946819085487078,0.297216699801193,0.116674950298211,0.10101888667992,0
0.292401628222524,0.0781546811397558,0.367842605156038,0.121302578018996,0.140298507462687,0
0.52524154589372,0.0734299516908213,0.255434782608696,0.0863526570048309,0.0595410628019324,0
0.353386256512032,0.106301165963781,0.34519970230712,0.120689655172414,0.0744232200446539,0
0.563933654864134,0.073991295141748,0.232443241971533,0.0755205269968239,0.0541112810257617,0
0.685943524017922,0.112326768781911,0.157861831822445,0.0287589871834948,0.0151088881942274,0
0.137294394091977,0.0787176905001678,0.410876132930514,0.212823094998322,0.16028868747902,0
0.491622061903654,0.0854084244821969,0.291947870607401,0.0932045613218525,0.0378170816848964,0
0.353386256512032,0.106301165963781,0.34519970230712,0.120689655172414,0.0744232200446539,0
0.369478823662995,0.12069944362439,0.375723856023618,0.0999205177699557,0.0341773589190417,0
0.122322137000793,0.115842369743454,0.458344353345676,0.208278233271621,0.0952129066384555,0
0.0702270959326888,0.0568969759317034,0.0520255331506438,0.0778672797787893,0.657046083199454,0.0859370320067213
0.0396856405117442,0.0344120124338682,0.035048422517656,0.0660421603560885,0.702214603743325,0.122597160437319
0.0315422233618269,0.0279594572117512,0.0264961081574683,0.0520019900763889,0.72976549219661,0.132234728995955
0.00299393458170553,0.00355934091791938,0.00437855141444989,0.0143628095073541,0.786921143336785,0.187784220241786
0.242490573713855,0.199686089687055,0.154486790670343,0.0886431015284975,0.153446368557124,0.161247075843126
0.514026471181191,0.0674529770714822,0.0148935139910483,0.0127799295134205,0.390847108242858,0
0.410751205653448,0.0420263488885757,0.0151116938127541,0.00834611860472108,0.521491847909416,0.00227278513108497
0.342987348475515,0.0656942571822177,0.026626649260938,0.00934111319516706,0.552383223469204,0.00296740841695808
0.366106497745426,0.0464152225377312,0.0178590937727049,0.00846454726901264,0.558536284083777,0.00261835459134835
0.416348452,0.096573132,0.032519524,0.012108596,0.438520854,0.003929442
0.434733935,0.088905888,0.022483021,0.01026196,0.440331368,0.003283827
0.451411975,0.09728103,0.018896315,0.008398362,0.420617979,0.003394338
0.196236559,0.051843318,0.028763441,0.010061444,0.706605223,0.006490015
0.193623458,0.040726088,0.017523854,0.009937165,0.730742378,0.007447056
0.145988198,0.043298337,0.024906123,0.008199862,0.77017396,0.00743352
0.153019107,0.071979383,0.057784847,0.01308716,0.694626211,0.009503292
0.108379923,0.057469469,0.105256582,0.020832683,0.696504982,0.011556361
0.480892646,0.057159482,0.01305769,0.00482604,0.441531326,0.002532815
0.371221041,0.090714327,0.026763943,0.009007096,0.497320389,0.004973204
0.357007113,0.098414508,0.044116849,0.011945485,0.483249172,0.005266873
0.236284745,0.079907205,0.061863642,0.014048202,0.601452077,0.006444129
0.175541252,0.065706066,0.048030037,0.010569046,0.693631753,0.006521845
0.199992453,0.06660126,0.029998868,0.011150523,0.684879816,0.00737708
0.144585755,0.044077599,0.019933182,0.009812179,0.772761728,0.008829557
0.282239097,0.090047712,0.063302197,0.028963107,0.524830321,0.010617566
0.230495896,0.073897047,0.035219018,0.013395805,0.635200151,0.011792082
0.272514923,0.051583182,0.055800675,0.01570205,0.564495199,0.039903971
0.125782247,0.049939288,0.045611632,0.019676827,0.747221271,0.011768735
0.04958292,0.023916467,0.054249548,0.022633145,0.822493146,0.027124774
0.041215261,0.021667452,0.02253101,0.020254357,0.864342911,0.029989009
